# Ping Intraday -- 2026-09-15 -- Anchor: market_open -- Updated: 09:31

| Time | Ticker | Price | RSI | CV | RSI Zone | RHi | RLo | Anchor | Trigger | pBC | pBC State | pBC Delta | Cmp | Proj Exit |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 15:59:00 | ABT | 103.10 | 51.2 | -86.6 | neutral | 103.53 | 102.64 |  |  |  |  |  |  |  |
| 15:59:00 | AMD | 493.26 | 33.8 | 57.6 | bearish | 496.62 | 493.12 |  |  |  |  |  |  |  |
| 15:59:00 | BRK-B | 514.91 | 42.5 |  | neutral | 515.66 | 514.67 |  |  |  |  |  |  |  |
| 15:59:00 | COP | 136.67 | 67.8 | -26.4 | bullish | 136.70 | 136.16 |  | ACTION |  |  |  |  |  |
| 15:59:00 | DHR | 203.30 | 55.0 | -86.6 | neutral | 203.57 | 202.51 |  |  |  |  |  |  |  |
| 15:59:00 | DIA | 524.45 | 29.1 | -78.6 | oversold | 525.04 | 524.41 |  | ACTION |  |  |  |  |  |
| 15:59:00 | GE | 317.58 | 59.3 | -86.6 | neutral | 317.76 | 316.71 |  | ACTION |  |  |  |  |  |
| 15:59:00 | IWM | 287.90 | 22.3 | 7.9 | oversold | 288.45 | 287.85 |  |  |  |  |  |  |  |
| 15:59:00 | JPM | 350.13 | 57.5 | -73.1 | neutral | 350.79 | 348.83 |  | ACTION |  |  |  |  |  |
| 15:59:00 | LLY | 1137.03 | 39.6 | 192.1 | bearish | 1140.92 | 1136.32 |  | ACTION |  |  |  |  |  |
| 15:59:00 | MPC | 396.52 | 76.7 | -86.3 | overbought | 396.54 | 393.14 |  |  |  |  |  |  |  |
| 15:59:00 | NEM | 123.08 | 54.8 | -69.5 | neutral | 123.20 | 122.88 |  |  |  |  |  |  |  |
| 15:59:00 | NVDA | 210.89 | 26.3 | 35.1 | oversold | 212.40 | 210.79 |  |  |  |  |  |  |  |
| 15:59:00 | PG | 146.15 | 51.9 | -86.6 | neutral | 146.35 | 145.90 |  |  |  |  |  |  |  |
| 15:59:00 | PLTR | 173.31 | 37.1 | -3.2 | bearish | 174.36 | 173.10 |  | ACTION |  |  |  |  |  |
| 15:59:00 | PSX | 257.04 | 69.9 | -86.6 | bullish | 257.07 | 255.69 |  | ACTION |  |  |  |  |  |
| 15:59:00 | QQQ | 709.16 | 17.9 | -13.1 | oversold | 711.18 | 709.09 |  |  |  |  |  |  |  |
| 15:59:00 | SLB | 53.31 | 57.0 | -76.3 | neutral | 53.37 | 53.16 |  |  |  |  |  |  |  |
| 15:59:00 | SMCI | 36.73 | 20.4 | 90.8 | oversold | 37.25 | 36.69 |  |  |  |  |  |  |  |
| 15:59:00 | SPY | 760.77 | 21.8 | 28.6 | oversold | 761.93 | 760.66 |  |  |  |  |  |  |  |
| 15:59:00 | UNH | 383.64 | 40.2 |  | neutral | 385.38 | 383.01 |  |  |  |  |  |  |  |
| 15:59:00 | V | 375.32 | 63.6 | 88.8 | bullish | 375.57 | 373.88 |  |  |  |  |  |  |  |
| 15:59:00 | XLB | 50.48 | 43.2 |  | neutral | 50.56 | 50.44 |  |  |  |  |  |  |  |
| 15:59:00 | XLC | 115.04 | 44.4 | -22.9 | neutral | 115.16 | 114.93 |  |  |  |  |  |  |  |
| 15:59:00 | XLE | 64.55 | 75.7 |  | overbought | 64.55 | 64.26 |  |  |  |  |  |  |  |
| 15:59:00 | XLF | 57.03 | 63.6 |  | bullish | 57.08 | 56.88 |  |  |  |  |  |  |  |
| 15:59:00 | XLI | 169.95 | 49.5 |  | neutral | 170.09 | 169.85 |  |  |  |  |  |  |  |
| 15:59:00 | XLK | 184.25 | 22.8 |  | oversold | 185.11 | 184.22 |  |  |  |  |  |  |  |
| 15:59:00 | XLP | 84.42 | 38.5 |  | bearish | 84.57 | 84.41 |  |  |  |  |  |  |  |
| 15:59:00 | XLRE | 43.13 | 44.5 |  | neutral | 43.23 | 43.10 |  |  |  |  |  |  |  |
| 15:59:00 | XLU | 41.81 | 51.7 |  | neutral | 41.88 | 41.75 |  |  |  |  |  |  |  |
| 15:59:00 | XLV | 167.73 | 45.5 |  | neutral | 167.90 | 167.60 |  |  |  |  |  |  |  |
| 15:59:00 | XLY | 112.83 | 32.9 | -31.5 | bearish | 113.05 | 112.80 |  | ACTION |  |  |  |  |  |
| 18:23:00 | XLC | 115.27 | 56.3 | -22.9 | neutral | 115.32 | 114.93 |  |  |  |  |  |  |  |
| 18:50:00 | ABT | 101.92 | 42.7 | -86.6 | neutral | 110.31 | 101.92 |  | ACTION |  |  |  |  |  |
| 19:54:00 | XLY | 112.99 | 55.5 | -31.5 | neutral | 113.08 | 112.80 |  |  |  |  |  |  |  |
| 04:00:00 | DHR | 202.75 | 44.1 | -86.6 | neutral | 217.79 | 202.75 |  |  |  |  |  |  |  |
| 04:08:00 | XLI | 169.33 |  |  |  | 170.13 | 169.33 |  |  |  |  |  |  |  |
| 04:38:00 | XLB | 50.49 | 50.0 |  | neutral | 50.76 | 50.44 |  |  |  |  |  |  |  |
| 04:54:00 | XLU | 41.79 | 45.7 |  | neutral | 41.92 | 41.79 |  |  |  |  |  |  |  |
| 04:59:00 | XLRE | 42.96 |  |  |  | 43.19 | 42.96 |  |  |  |  |  |  |  |
| 05:01:00 | PG | 145.52 | 41.1 | -86.6 | neutral | 146.54 | 145.42 |  | ACTION |  |  |  |  |  |
| 05:09:00 | XLV | 167.52 |  |  |  | 167.75 | 167.52 |  |  |  |  |  |  |  |
| 05:10:00 | BRK-B | 514.40 | 46.5 |  | neutral | 515.95 | 513.22 |  |  |  |  |  |  |  |
| 05:18:00 | PSX | 258.53 | 62.2 | -86.6 | bullish | 258.88 | 255.78 |  | ACTION |  |  |  |  |  |
| 05:20:00 | UNH | 381.85 | 34.0 |  | bearish | 383.75 | 381.36 |  |  |  |  |  |  |  |
| 05:24:00 | GE | 315.24 | 29.8 | -86.6 | oversold | 318.65 | 315.24 |  | ACTION |  |  |  |  |  |
| 05:33:00 | MPC | 400.96 | 61.4 | -86.3 | bullish | 404.49 | 393.68 |  | ACTION |  |  |  |  |  |
| 05:38:00 | XLP | 84.26 | 43.0 |  | neutral | 84.53 | 84.17 |  |  |  |  |  |  |  |
| 05:45:05 | COP | 138.20 | 87.9 | -25.7 | overbought | 138.20 | 136.16 |  |  |  |  |  |  |  |
| 05:49:00 | JPM | 348.50 | 46.9 | -73.5 | neutral | 351.50 | 347.63 |  |  |  |  |  |  |  |
| 05:51:40 | XLK | 183.91 | 52.4 |  | neutral | 184.71 | 183.01 |  |  |  |  |  |  |  |
| 05:54:00 | NEM | 122.25 | 51.0 | -69.5 | neutral | 123.30 | 121.43 |  |  |  |  |  |  |  |
| 05:56:40 | XLF | 56.81 | 37.3 |  | bearish | 57.15 | 56.69 |  |  |  |  |  |  |  |
| 05:57:00 | XLP | 84.24 | 41.6 |  | neutral | 84.53 | 84.17 |  |  |  |  |  |  |  |
